Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S80610742,Canada Goose,Branta canadensis,330,8,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-02-07,08:30 AM,eBird - Traveling Count,100,1,5.311,,1
S81455591,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-02-14,08:30 AM,eBird - Traveling Count,135,1,8.047,,1
S83020521,Canada Goose,Branta canadensis,330,2,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-03-07,08:30 AM,eBird - Traveling Count,100,1,4.828,,1
S83844884,Canada Goose,Branta canadensis,330,3,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-03-21,08:30 AM,eBird - Traveling Count,120,1,7.242,,1
S84294435,Canada Goose,Branta canadensis,330,4,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-03-28,08:30 AM,eBird - Traveling Count,135,1,6.437,,1
S84788198,Canada Goose,Branta canadensis,330,4,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-04-04,08:30 AM,eBird - Traveling Count,120,1,5.633,,1
S85399153,Canada Goose,Branta canadensis,330,4,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-04-11,09:30 AM,eBird - Traveling Count,90,1,5.633,,1
S85846036,Canada Goose,Branta canadensis,330,2,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-04-18,08:30 AM,eBird - Traveling Count,120,1,6.437,,1
S86353428,Canada Goose,Branta canadensis,330,4,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-04-25,09:00 AM,eBird - Traveling Count,90,1,5.633,,1
S87039541,Canada Goose,Branta canadensis,330,4,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-02,08:30 AM,eBird - Traveling Count,120,1,6.437,,1
S88857194,Canada Goose,Branta canadensis,330,30,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-23,08:30 AM,eBird - Traveling Count,150,1,5.633,,1
S90130947,Canada Goose,Branta canadensis,330,1,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-06-13,09:00 AM,eBird - Traveling Count,120,1,5.633,,1
S91995531,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-07-18,09:00 AM,eBird - Traveling Count,120,1,5.633,,1
S169991253,Canada Goose,Branta canadensis,330,4,US-NJ,Somerset,L30898882,Boro Springs,40.7180624,-74.5801724,2024-04-23,10:00 AM,eBird - Traveling Count,120,1,8.047,,1,,,Mt. Airy &gt; Hwy 202 to Crestview &gt; Laurelwood &gt; Round Top Rd &gt; Mine Mt. Rd and back
S160264764,Canada Goose,Branta canadensis,330,12,US-NJ,Somerset,L29028899,"Evergreen Cemetery, Basking Ridge, NJ",40.7075046,-74.5560826,2024-01-30,11:00 AM,eBird - Traveling Count,120,1,8.047,,1
